id,game,start,end,gap(sec),prev,comment,subcategory
591,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,36:13:00,36:31:00,11,"Quiero parar un poco en él y subrayarlo porque me encantaría que nos lo repitieran además. Porque ante una buena presión, que es la que está haciendo el Burnley, no es perfecta, pero yo creo que tiene bastante nivel.","El Chelsea ha salido con un simple toque, gracias al dominio del espacio y a la visión y la capacidad para jugar de primera de Sefábregas que con un simple toque ha desarmado una presión entera.",Relevant
2928,england_epl/2014-2015/2015-05-17 - 18-00 Manchester United 1 - 1 Arsenal,5:52,5:57,8,"Lo que en Inglaterra sería también como, si no hecho así bastante probable, la llegada aparte de Memphis Depay que ya ha fichado, de Madhumels. Hablando un poco de los centrales Madhumels.",Se está especulando con la posibilidad de que al final Pogba vuelva.,Irrelevant
6258,england_epl/2015-2016/2015-08-29 - 17-00 Manchester City 2 - 0 Watford,37:57:00,38:03:00,16,Foul by Barame Onigwara. Will he consider this first half a success?,"Well he will, because his team haven't conceded yet.",Relevant
8469,england_epl/2015-2016/2015-09-26 - 17-00 Leicester 2 - 5 Arsenal,10:51,11:00,4,Qui trouve des brèches aussi pour Vardy. Paul Brighton qu'on n'a pas encore vu mais qui a une vraie belle qualité de passe.,D'ailleurs il est passeur 3 fois depuis le début de saison.,Relevant
9362,england_epl/2015-2016/2015-09-26 - 17-00 Liverpool 3 - 2 Aston Villa,31:08:00,31:11:00,2,Лукас. Каутиньо.,Сколько мяч уже держится у футболистов Ливерпуля.,Irrelevant
10362,england_epl/2015-2016/2015-10-17 - 17-00 Chelsea 2 - 0 Aston Villa,28:27:00,28:37:00,2,Nothing much in that one for me. Westwood.,"£50,000 fine being appealed by Jose Mourinho.",Irrelevant
10986,england_epl/2015-2016/2015-10-31 - 15-45 Chelsea 1 - 3 Liverpool,41:34:00,41:50:00,3,Long trip to Russia for Jurgen Klopp and his team. We'll have the tournament Celtic games on Thursday night as well for you.,"DT Sport, that's the place to catch up with all the European action this week, Tuesday, Wednesday and Thursday.",
11004,england_epl/2015-2016/2015-10-31 - 15-45 Chelsea 1 - 3 Liverpool,43:25:00,43:36:00,3,They've already been beaten five times. Last year it was December before they lost a game.,"He is in the tightest spot of his distinguished managerial career, Jose Mourinho.",
13200,england_epl/2015-2016/2015-11-08 - 19-00 Arsenal 1 - 1 Tottenham,38:34:00,38:37:00,2,Es el verdadero drama de este equipo. Ahí había fuera de juego.,Habría sido anulado eso.,
13446,england_epl/2015-2016/2015-11-21 - 20-30 Manchester City 1 - 4 Liverpool,10:48,10:53,4,"He needs to settle himself down. He started the first six Premier League games of the season for City, but only two of the six since then.",It's three out of seven now.,
19904,england_epl/2015-2016/2016-03-19 - 18-00 Chelsea 2 - 2 West Ham,3:49,4:05,5,"Well, that was sharp play, Kennedy's gone a fraction too early, because look at this real rat-a-tat playing there, he's gone early, he's only got to look along the line and he's in, and then he's setting Remy up. Kennedy going a fraction early there, but great one-touch play from Chelsea early on.","Kennedy, the 20-year-old Brazilian who scored the fastest goal in the Premier League this season after just 39 seconds, when Chelsea won at Norwich at the start of this month.",
21110,england_epl/2015-2016/2016-04-09 - 17-00 Swansea 1 - 0 Chelsea,18:41,18:56,5,"Francesco Guidolin's contract runs to June, he says as soon as they are mathematically safe, he will go and knock on Hugh Jenkins' door and ask what is going on with his future and Swansea's future. Brendan Rodgers still a firm favourite to take over here, Chris Coleman's name mentioned as well.","Francesco Guidolin has almost done what he was asked to do, and that is to keep Swansea City in the Premier League.",
30363,england_epl/2016-2017/2016-10-22 - 17-00 Arsenal 0 - 0 Middlesbrough,40:13:00,40:22:00,3,"Соответственно, ошибаться, упуская какие-то зоны. Нет, все очень четко, все очень выстроено.","Если футболист Арсеналу приходит с мячом в какую-либо зону в атаке, там его обязательно ждет один или два футболиста соперника.",
31889,england_epl/2016-2017/2016-10-29 - 17-00 Tottenham 1 - 1 Leicester,42:09:00,42:14:00,4,Wanyama. It's a penalty.,The grappling has gone on throughout the game.,
37404,england_epl/2016-2017/2016-12-27 - 20-15 Liverpool 4 - 1 Stoke City,18:54,19:02,4,"And Kruise yelling for the free kick, and the referee was going to give it anyway. He does really well here, Walters, makes a new some serve.","It's not the greatest ball through, and it should be dealt with by the Liverpool defenders, but they miss it out, and he gets on to it really well.",
39486,england_epl/2016-2017/2017-01-14 - 20-30 Leicester 0 - 3 Chelsea,20:03,20:10,2,Chelsea defence with some difficulty. Managed to hook it away.,And have conceded a couple in both of their last two games in the Premier League.,
44760,europe_uefa-champions-league/2014-2015/2014-11-04 - 22-45 Dortmund 4 - 1 Galatasaray,33:46:00,34:16:00,3,"Kehl in seiner letzten Saison. Er trifft den Inneren am Knöchel, ohne den Ball spielen zu können.","34 ist er, im Februar wird er 35, Sebastian Kehl, aber so richtig führt an ihm kein Weg vorbei.",
44833,europe_uefa-champions-league/2014-2015/2014-11-04 - 22-45 Dortmund 4 - 1 Galatasaray,40:55:00,41:01:00,3,Dann ist es Handspiel. In der Kapitän.,Saisonübergreifend.,
45967,europe_uefa-champions-league/2014-2015/2014-11-05 - 22-45 Ajax 0 - 2 Barcelona,36:06:00,36:21:00,4,Lionel Messi's 70th goal. In Champions League football in 90 matches.,"Just for the record, his last hat-trick in the Champions League was September last season against Ajax.",
58545,europe_uefa-champions-league/2014-2015/2015-04-15 - 21-45 FC Porto 3 - 1 Bayern Munich,37:00:00,37:13:00,2,"Two things, he's not favourite to win the ball, and goes in with the studs up, but if he doesn't win it, then he's almost just making the referee's job that little bit easier for him not to be available next week. That's more problems for Patek in defence.","He's one of the few who's played every minute in the Champions League for Porto so far this season, that will come to an end.",
59327,europe_uefa-champions-league/2014-2015/2015-04-21 - 21-45 Barcelona 2 - 0 Paris SG,24:55:00,25:01:00,4,"Alves, Messi, Verratti, and Messi keeping up the pressure. And it's actually started the game really well, Verratti.",Showboating here with Dani Alves and Lionel Messi.,
64337,europe_uefa-champions-league/2015-2016/2015-09-16 - 21-45 AS Roma 1 - 1 Barcelona,39:33:00,39:41:00,4,"Dinamo Kiev and Porto won a piece, that in Group G. In Group H, Hulk scoring for Zenit away at Valencia. They lead by a goal to nil and it's Gent 0, Lyon 0.",Gent's first ever game in either the European Cup or Champions League.,
66648,europe_uefa-champions-league/2015-2016/2015-09-16 - 21-45 Olympiakos Piraeus 0 - 3 Bayern Munich,7:42,7:48,12,Lewandowski. Hat ja hier sein allererstes Champions-League-Tor geschossen.,Das erste von 23.,
68619,europe_uefa-champions-league/2015-2016/2015-09-29 - 21-45 FC Porto 2 - 1 Chelsea,12:08,12:22,3,"Now Marcano, across to the skipper. Maicon, not to be confused by the rather more famous Brazilian of that name.",Gareth Bale gave a bit of a going-over in those Spurs intermatches a few seasons ago.,
70426,europe_uefa-champions-league/2015-2016/2015-11-03 - 18-00 FC Astana 0 - 0 Atl. Madrid,34:08:00,34:17:00,4,"In his second season, having arrived from Benfica. Eventually filling the void left of course by Thibaut Courtois' return to Chelsea.",And they have only conceded eight goals in 13 games in all competitions this season.,
71664,europe_uefa-champions-league/2015-2016/2015-11-03 - 22-45 Manchester United 1 - 0 CSKA Moscow,36:16:00,36:31:00,4,"Mignasiewicz there, and then Wernblum was the player that it canned off, and it will be a Manchester United corner. Really encouraging, though, isn't it?","We saw Rocco then hitting the ball wide, but he's in the six-yard box as a left-back, and Manchester United are getting an awful lot of bodies forward, and if you do that the ball's gonna drop to you at some point.",
72552,europe_uefa-champions-league/2015-2016/2015-11-03 - 22-45 Sevilla 1 - 3 Manchester City,34:15:00,34:18:00,2,Konoplyanka. Sanea stayed with him.,And it is another corner.,
78692,europe_uefa-champions-league/2015-2016/2015-11-25 - 22-45 Juventus 1 - 0 Manchester City,4:31,4:49,4,"Yeah, nice link-up play between Sanya and Navas. Good splant, young, to fob off Paul Pogba.","Short option, Navas working this with De Bruyne, who slides a very good ball in, Aguero attacking that area, to Amande, and then Fernandinho, not that far away.",
79777,europe_uefa-champions-league/2015-2016/2015-11-25 - 22-45 Malmo FF 0 - 5 Paris SG,29:26:00,29:28:00,1,D'avoir un jeu trop latéral. Là il y a vraiment de bonnes choses.,Il y a des appels très tranchants.,
84855,europe_uefa-champions-league/2016-2017/2016-11-23 - 22-45 Arsenal 2 - 2 Paris SG,14:42,14:46,0,"Pas encore. Cavani, Cavani.",Cavani premier poteau c'est sauvé sur sa ligne par Aaron Ramsey.,
91352,france_ligue-1/2016-2017/2017-02-10 - 22-45 Bordeaux 0 - 3 Paris SG,22:25,22:28,6,Voilà Verratti tout à l'heure lorsqu'il a peut-être perdu sa chaussure. Lorsqu'il a été touché surtout.,On sait qu'il souffrait du mollet.,
96357,germany_bundesliga/2014-2015/2015-04-25 - 16-30 Dortmund 2 - 0 Eintracht Frankfurt,23:56,24:00:00,2,Reingechippt. Er zeigt sein ganzes Selbstvertrauen.,Es ist sein 14.,
96517,germany_bundesliga/2014-2015/2015-04-25 - 19-30 Bayern Munich 1 - 0 Hertha Berlin,0:15,0:35,15,"Bayern kicking from right to left. No Alaba, no Bad Stuber, no Benatia although he should be back for the cup game against Dortmund in the middle of the week.","Martinez is on the bench, Rafinha has got a groin injury, Ribéry still has that ankle problem and Robben a little bit too early for him to come back as well.",
98556,germany_bundesliga/2015-2016/2015-08-29 - 19-30 Bayern Munich 3 - 0 Bayer Leverkusen,9:15,9:35,17,Four years since he swapped Leverkusen for Juventus. Four memorable years from in terms of silverware earned in Turin.,Finally Guardiola has tempted him to the Allianz Arena.,
100962,germany_bundesliga/2015-2016/2015-09-22 - 21-00 Bayern Munich 5 - 1 Wolfsburg,33:27:00,33:33:00,11,"Es fehlen auch bei Bayern die zündenden Dehnen im Mittelfeld. Alonso lässt sich sehr weit zurückfahren, dass er das Spiel von hinten aufbauen kann.",Bei Bayern fehlt die Unterstützung aus dem Mittelfeld heraus.,
101337,germany_bundesliga/2015-2016/2015-09-26 - 16-30 1. FSV Mainz 05 0 - 3 Bayern Munich,30:14:00,30:26:00,4,"Aber ich sag mal, zumindest ein halber Elfmeter war das ja eigentlich auch schon. Was auf der anderen Seite dann Yoshinori Muto hatte in der 25.","Minute nach schöner Vorarbeit von de Blasis, als er frei steht knapp neben das Tor von Manuel Neuer zielte.",
103293,germany_bundesliga/2015-2016/2016-04-02 - 16-30 Bayern Munich 1 - 0 Eintracht Frankfurt,33:10:00,33:16:00,6,Aber sie versuchen anzulaufen. Sie trainiert jetzt in der Länderspielpause.,Immer wieder sauberes Verschieben im Mittelfeld.,
104256,germany_bundesliga/2015-2016/2016-04-23 - 16-30 Hertha Berlin 0 - 2 Bayern Munich,12:42,12:53,14,Lewandowski. Neuer gegen Neuer.,Sie kriegen wieder eine Ballbesitzstatistik.,
105381,germany_bundesliga/2016-2017/2016-09-23 - 21-30 Dortmund 3 - 1 SC Freiburg,1:24,1:30,26,Und diese ersten Augenblicke sehen genauso aus. Das lief wirklich überragend für Thomas Doppel und seine Mannschaft.,Nach dem Leipzig-Spiel wohlgemerkt.,
108566,germany_bundesliga/2016-2017/2016-12-10 - 17-30 FC Koln 1 - 1 Dortmund,17:03,17:16,0,Dem Wille. Übrigens der Spieler mit den meisten Ballaktionen in dieser Anfangsviertelstunde.,"In der Offensive wird er gesucht und sie finden ihn dann auch häufig, weil er sich gut bewegt.",
108615,germany_bundesliga/2016-2017/2016-12-10 - 17-30 FC Koln 1 - 1 Dortmund,22:44,23:29,1,Zwei hat alles im Griff. Hannover Meyang wird jetzt auch gleich wieder stehen.,"Sieht so aus, als wenn sich Reus der Angelegenheit ganz gerne annehmen würde, der ja in dieser Saison was Wunder, wo er heute erst zum dritten Mal in der Bundesliga spielt, noch auf sein Tor wartet.",
109326,germany_bundesliga/2016-2017/2016-12-20 - 22-00 Dortmund 1 - 1 FC Augsburg,32:00:00,32:41:00,10,"Es gibt viele Unterbrechungen und das liegt daran, dass viele Kombinationen und auch viele Spieler von BVB oftmals in 1-gegen-1-Situationen zu schnell sind für den FC Augsburg. Und wie hier gegen Dembélé dann halt auch einen Tick zu spät kommen.",Mit 1-0 durch den Ex-Dortmunder Guy und dessen drittes Saisontor.,
112092,germany_bundesliga/2016-2017/2017-04-01 - 16-30 Schalke 1 - 1 Dortmund,27:11:00,27:13:00,1,Die Verzeihung nach 26 Minuten ist auch eindeutig. Torschussverhältnis 3 zu 0 für Schalke.,Die Verzeihung nach 26 Minuten ist auch eindeutig.,
112597,germany_bundesliga/2016-2017/2017-04-29 - 16-30 Dortmund 0 - 0 FC Koln,10:37,10:49,1,"Und dann hat sich das Trainerteam und Peter Stöger gedacht, oh, dann probieren wir den jungen Klünter mal aus. Und der hat es gut gemacht und sich so in die Mannschaft gespielt.",Fünftes Spiel in Folge für ihn von Beginn an.,
113636,italy_serie-a/2014-2015/2015-04-11 - 21-45 Verona 0 - 3 Inter,9:44,9:54,4,Salah. Tidy on the ball as well.,Well schooled at Chelsea.,
116545,italy_serie-a/2014-2015/2015-04-29 - 21-45 Juventus 3 - 2 Fiorentina,12:51,12:59,3,Free kick just outside the deep. Fiorentina currently holding that sixth place in the table.,Which is the last European slot.,
116610,italy_serie-a/2014-2015/2015-04-29 - 21-45 Juventus 3 - 2 Fiorentina,16:34,16:40,7,His first season last year under Conte went well. Now Pereira.,Talks about him being sold on in fact.,
117974,italy_serie-a/2014-2015/2015-05-10 - 21-45 Lazio 1 - 2 Inter,23:32,23:38,4,It is indeed a clear shot on goal. And an opportunity to score.,And Mauricio has been given a red card on 24 minutes.,
117982,italy_serie-a/2014-2015/2015-05-10 - 21-45 Lazio 1 - 2 Inter,23:56,24:01:00,5,But certainly I had a feeling the referee was going to pull out the red card on this occasion. It seemed as if Palacio definitely was beyond this man.,Let's see it again.,
117983,italy_serie-a/2014-2015/2015-05-10 - 21-45 Lazio 1 - 2 Inter,24:00:00,24:02:00,4,It seemed as if Palacio definitely was beyond this man. Let's see it again.,He was definitely beyond this man.,
118132,italy_serie-a/2014-2015/2015-05-10 - 21-45 Lazio 1 - 2 Inter,34:25:00,34:43:00,6,Massa spotting the foul by Guarin. Inter of course host Juventus next Saturday night at the San Siro.,Juventus already been crowned champions and they play Real Madrid midweek.,
120294,italy_serie-a/2015-2016/2015-09-22 - 21-45 Udinese 2 - 3 AC Milan,6:30,6:40,7,"Немножко такая неожиданная и, наверное, даже сенсационная победа. И даже где-то победа несправедливая, потому что обыграли на выезде они Ювентус, футболисты Удины.","Но нанесли за весь матч лишь один удар поворотом, который стал в итоге голевым.",
121200,italy_serie-a/2015-2016/2015-09-26 - 21-45 Napoli 2 - 1 Juventus,22:53,23:01,3,"Эрнанес и нарушает правила. Эрнанес даже не он, а до этого фолил Покба на Калихоне.","Арбитр показывает, где был первый фо.",
122752,italy_serie-a/2016-2017/2016-08-20 - 19-00 AS Roma 4 - 0 Udinese,15:33,15:45,11,"И слишком ругать арбитров не будем. Сегодня помогают Дебело, Марзолоне, Карбона и Фиорито.",Прорыв Эдмера и вопросы по поводу нарушения правил.,
127226,italy_serie-a/2016-2017/2016-09-21 - 21-45 AS Roma 4 - 0 Crotone,3:59,4:03,4,"Тут если еще и рассматривать результаты Еврокубка, так вообще картина такая, ни два, ни полтора. Вроде бы и победы есть довольно яркие.",Как в первом туре над Удинезой 4-0.,
130417,italy_serie-a/2016-2017/2016-10-02 - 19-00 AC Milan 4 - 3 Sassuolo,37:26:00,37:37:00,6,Как не получается у Милана Бескарлоса Бакки. А мы такие матчи уже видели.,"Как раз, по-моему, сам Дорио, когда Бакка остался на лавке, и в итоге вышел на замену и забил победный мяч.",
135069,italy_serie-a/2016-2017/2016-10-29 - 21-45 Juventus 2 - 1 Napoli,1:16,1:20,6,Очень стабильный состав. Но есть выбор в полузащите.,"В частности, сегодня 42-й номером Амаду Дьявара.",
146143,italy_serie-a/2016-2017/2017-01-29 - 17-00 Sampdoria 3 - 2 AS Roma,31:20:00,31:38:00,15,"Нет вот этого же летучего взаимодействия между Праттом Мурриэлем и Хуальяреллой. Но и надо сказать, что Пратт прервал достаточно длинную серию.",На 21 минуте он забивает.,
148032,italy_serie-a/2016-2017/2017-02-19 - 17-00 Chievo 1 - 3 Napoli,18:55,18:58,3,Правда у него повреждения было в какой-то момент. Но 9 матчей за Дженну провел.,3 гола забил.,
175203,spain_laliga/2015-2016/2015-09-26 - 19-15 Real Madrid 0 - 0 Malaga,19:22,19:46,5,"Hablaba de los errores en el pase del Real Madrid, de esas pérdidas de balón. Pero muchas de esas pérdidas cada vez más están propiciadas por el acierto del Málaga y su buena situación en el terreno de juego.","Sí, el Málaga está apretando bien sobre todo en el centro del campo y el Real Madrid, bueno, yo creo que tiene que tener un poquito más de paciencia y elaborar como los cinco primeros minutos que ha hecho llevar el balón de Marcelo a Carvajal sin tener ningún tipo de prisa.",
182770,spain_laliga/2016-2017/2016-08-21 - 21-15 Real Sociedad 0 - 3 Real Madrid,2:24,2:28,6,"Pero llega al despeje y Gareth Bale coloca el frentazo para colocarla lejos del alcance de Rulli. Siempre hay alguien que mete la pata cuando alguien marca un gol, pero no lo veo muy parente aquí.","Ramos pega un gol muy bueno, Carvajal, el centro es buenísimo.",
183047,spain_laliga/2016-2017/2016-08-21 - 21-15 Real Sociedad 0 - 3 Real Madrid,27:01:00,27:07:00,2,Saque para el Real Madrid. Además está teniendo imprecisiones permanentes la Real con la pelota.,Está regalando mucho balón también.,
187746,spain_laliga/2016-2017/2016-09-21 - 23-00 Barcelona 1 - 1 Atl. Madrid,42:14:00,42:17:00,2,"Jugado sobre Griezmann. Griezmann, Felipe Luis.",Calva la primera entrada de Sergio Busquets.,
191315,spain_laliga/2016-2017/2016-10-29 - 21-45 Barcelona 1 - 0 Granada CF,33:31:00,33:36:00,2,Sí que debió tocar ahí. Vamos a ver.,Efectivamente roza la pelota en Lombán.,
196167,spain_laliga/2016-2017/2017-01-21 - 18-15 Real Madrid 2 - 1 Malaga,28:55:00,29:07:00,4,"Veíamos la imagen de Marcelo, ahora más detenido en la repetición. Ya mira para el banquillo, y en el momento que se sienta, se pone la camiseta encima de la cabeza.","Así que vamos a estar muy pendientes de lo que pueda suceder con el brasileño, que no es la primera vez en esta temporada que ya sufre una lesión muscular.",
201050,spain_laliga/2016-2017/2017-03-12 - 18-15 Dep. La Coruna 2 - 1 Barcelona,1:45,1:58,0,"Pero Luis Enrique siempre que ha modificado el sistema, a menos en cuanto a la manera como ocupa las posiciones en campo contrario, lo que no modifica es el retorno, cómo repliega el equipo cuando tiene que formar un bloque compacto cerca de su portero, cómo lo hace. Lo hace con un dibujo de, viene a ser más un 4-4-2 en este caso.","El que irá de dentro hacia afuera será Sergi Roberto, que seguramente formará la línea de 4.",
201682,spain_laliga/2016-2017/2017-03-18 - 18-15 Ath Bilbao 1 - 2 Real Madrid,10:00,10:24,3,"No tiró, podía haber tirado, estaba en muy buena posición. Lo vio muy claro Cristiano que había apresurado su carrera y terminó el Madrid desaprovechando una gran ocasión de gol ante una jugada extraordinaria de Carvajal.",En ningún caso andábamos equivocados cuando apuntábamos en la previa Santi la importancia de lo que pudiera pasar en la zona que ocupan los laterales del Real Madrid tanto en ataque como en defensa.,
202006,spain_laliga/2016-2017/2017-03-18 - 18-15 Ath Bilbao 1 - 2 Real Madrid,38:10:00,38:17:00,8,"Ronaldo sobre Iturraspe en ese lanzamiento largo, intenta avanzar por la izquierda del Atletic pero no la baja Íñigo Lecue. Así que saque de banda para Carvajal en el tramo final ya de este primer acto.","Lecue que ha jugado ya 90 minutos, ¿no?",
203038,spain_laliga/2016-2017/2017-04-02 - 21-45 Granada CF 1 - 4 Barcelona,4:13,4:31,253,"el granada con 5-3-2 con los tres africanos en el centro ahí está jugando la pelota Uche intenta con Waka se coloca en el centro de la defensa de la defensa del medio campo ahí está Uche que engancha esa pelota tras el rechace ha tocado la pelota para Sonier apertura para Fulker ahí está cerrando ya Nismar para el Barcelona presionado Uche con troca la pelota hacia atrás para la posición de Lombán que sale jugando para Gastón Silva pelotazo largo de Gastón Silva para buscar a la internada a conseguir llegar a esa pelota Pereira ahí protegiéndola sobre la misma esquina llegó la ayuda defensiva sacó la pelota fuera del terreno de juego el Barcelona va a poner el balón en movimiento Héctor que lo va a hacer en largo buscando probablemente la prolongación para la cabeza de Kravitz ahí intenta bueno a lo de la y tan largo no sea se ha pasado de toda la línea de atacantes atención al resbalón se lleva la pelota nuevamente el granada por mediación de Fulker que intenta progresar hasta la línea de fondo quiere sacar el pase tendrá una segunda oportunidad saque de banda protegió Fulker ante el Barcelona y el Huacazo para poner la larga o acaso que va a buscar la cabeza arriba de Kravitz intenta llegar el balón al balcón del área toca la pelota hacia atrás Pereira consigue despejar contundente el Barcelona y atención que monta la contra con Luis Suárez y se ha hecho con esa pelota en el círculo central apertura para Neymar Neymar que encara sobre Saunier, ahí va Neymar quiere progresar no ha podido hacerlo de primeras y llevó definitivamente la pelota Fulker la saca fuera del terreno de juego y será saque de banda para el Barcelona, juega la pelota Neymar el cambio de orientación hacia la posición de Sergi Roberto, Sergi Roberto que tiene el apoyo de André Gómez recibe el portugués se ofrece raquitis raquitis de primeras antes de que pueda llegar la presión de Agbam, con el balón hacia atrás el Barça Mascherano para Ter Stegen, la va a pedir Sergi Busquets, un cambio de posición en el Barça interesante, ha empezado André Gómez por la derecha y donde esperábamos a Rafinha pero por la derecha arriba en el 4-3-3 y Rafinha está jugando de interior a la izquierda de Busquets, ahí está saliendo Jordi Alba en cuanto juega con 4 atrás se le ilumina la cara al de Hospitalet porque le permite hacer su juego más habitual que es progresar sobre la banda, ahí está Raquit intentando meter una pelota por dentro fuera de juego, levantó la bandera en línea por fuera de juego de Luis Suárez al pase del Croata Sí, a mí me sorprende ver a André Gómez en este demarcación Vamos a ver la jugada repetida, ahí está, movimiento por detrás de la defensa, acierta el asistente con atención al regalo, la pelota de... bueno lo ha enmendado Gastón da Silva porque había regalado un balón a Raquitis con muchísimo peligro, recuperó la pelota Rafinha para el Barcelona, ha tocado Sergi Roberto para Jordi Alba, juega con a Sergio Busquets, apertura de Jordi Alba a la banda, recibe Neymar en cara sobre Fulquier, le dobla Jordi Alba, el rechace de Fulquier nuevamente para el brasileño, cambio de orientación para Sergi Roberto, se suben los dos laterales, se quedan atrás Matié y Mascherano, Mascherano que recibe en el círculo central, le va a presionar a Ispereira, también lo hace Kravets sobre la posición de Thierry Matié, el balón para Jordi Alba, cierra Uche, toca la pelota por dentro, Rafinha en esa posición de interior, el balón en corto para Neymar, Neymar que intenta progresar, amaga para jugar por dentro, aguanta la pelota, va a buscar en el centro a Sergi Busquets, toca el balón para Rafinha, Sergi Busquets de primeras con rapidez del Barcelona, el balón para Neymar, Neymar va a buscar a Rafinha, Rafinha en la frontal, intenta irse en velocidad, no lo consigue antes Sonny, intenta aguantar la pelota Kravets, pelea con Matié, se le va a quedar el balón fuera del terreno de juego, así que saque de banda para el Barcelona.","Yo creo que Luis Enrique piensa y que Rafinha jugando de interior va a participar mucho más y a la hora de mover la pelota al mejor que André Gómez y yo estoy de acuerdo con él y aleja completamente de la circulación del balón al portugués André Gómez que está aquí en la derecha, va a entrar mucho menos en juego.",
208566,spain_laliga/2016-2017/2017-04-29 - 17-15 Real Madrid 2 - 1 Valencia,28:38:00,28:52:00,0,¿Qué os parece? A mí me parece que se engancha la pierna pero que no hace nada Nacho para derribarlo.,"Bueno, sus forcejeos han enganchado y yo creo que ahí el jugador del Valencia pues está listo, se ha dejado caer y el árbitro pues ha pitado falta.",
210477,spain_laliga/2016-2017/2017-05-14 - 21-00 Real Madrid 4 - 1 Sevilla,9:50,9:55,3,Todo el mundo estaba mirando para otro lado. Todo el mundo estaba pensando quién le puede pegar a esa falta.,¿Cuáles son los especialistas del Real Madrid?,
212648,spain_laliga/2016-2017/2017-05-21 - 21-00 Barcelona 4 - 2 Eibar,41:52:00,42:02:00,7,"Llega sin embargo antes Undercapa, sigue peleando Capa también Busquets, que desde el suelo se rehace y entrega de Taco para Neymar. Neymar a la frontal, Messi recibe, Messi encarando, Messi entre dos, Iniesta de Taco, la busca Suárez, no, se la queda Joel.",Vaya jugada y viene de ese balón que ha luchado Busquets.,
213077,spain_laliga/2016-2017/2017-05-21 - 21-00 Malaga 0 - 2 Real Madrid,17:13,17:24,3,"Con qué calidad ahí va a intentar meter el balón para Keco. Keco en la banda, encarando sobre Sergio Ramos que hace la cobertura para Marcelo.","Busca la pared, la gana Keco, la pone en el punto de penalti, se le va Danilo, evita el remate de Reccio cuando la saca el Real Madrid buscando la contra.",